q_no,response_no,q_text,q_responses,q_weighting,indicator,output_name,type_f_b,rough_percent_contribution,dependancies,checked
F31,F31_2,Open Water Extent,0.01 - 0.10 hectares,1,FH,OpenW9,Function,NA,"NeverWater, NoPersis",1
F31,F31_3,Open Water Extent,0.10 - 1.00 hectares,2,FH,OpenW9,Function,NA,"NeverWater, NoPersis",1
F31,F31_4,Open Water Extent,1 - 10 hectares,4,FH,OpenW9,Function,NA,"NeverWater, NoPersis",1
F31,F31_5,Open Water Extent,10 - 100 hectares,6,FH,OpenW9,Function,NA,"NeverWater, NoPersis",1
F31,F31_6,Open Water Extent,> 100 hectares,10,FH,OpenW9,Function,NA,"NeverWater, NoPersis",1
F31,F31_1,Open Water Extent,"none, or <0.01 hectare. Enter ""1"" and SKIP to F37 (Inundated Erect Vegetation).",0,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F31,F31_2,Open Water Extent,0.01 - 0.10 hectares,2,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F31,F31_3,Open Water Extent,0.10 - 1.00 hectares,3,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F31,F31_4,Open Water Extent,1 - 10 hectares,4,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F31,F31_5,Open Water Extent,10 - 100 hectares,5,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F31,F31_6,Open Water Extent,> 100 hectares,6,CRI,OpenW17,Benefit,NA,"NeverWater, NoPersis",1
F32,F32_1,Distance across longest open water (fetch),<10 m.,8,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F32,F32_2,Distance across longest open water (fetch),10 - 30 m.,6,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F32,F32_3,Distance across longest open water (fetch),30 - 100 m.,5,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F32,F32_4,Distance across longest open water (fetch),100 - 200 m.,3,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F32,F32_5,Distance across longest open water (fetch),200 - 500 m.,2,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F32,F32_6,Distance across longest open water (fetch),> 500 m.,0,RSB,Fetch14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_1,Distance from Open Water to Upland (Vegetated Width),<1 m.,10,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_2,Distance from Open Water to Upland (Vegetated Width),1 - 9 m.,7,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_3,Distance from Open Water to Upland (Vegetated Width),10 - 29 m.,5,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_4,Distance from Open Water to Upland (Vegetated Width),30 - 49 m.,3,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_5,Distance from Open Water to Upland (Vegetated Width),50 - 100 m.,1,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_6,Distance from Open Water to Upland (Vegetated Width),"> 100 m, or open water is absent at that time.",0,Sens,WidthWet18a,Sensitivity,NA,"NeverWater, NoPersis, NoDeepPonded, NoOW, TempWet, NoPond",1
F33,F33_1,Distance from Open Water to Upland (Vegetated Width),<1 m.,0,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_2,Distance from Open Water to Upland (Vegetated Width),1 - 9 m.,2,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_3,Distance from Open Water to Upland (Vegetated Width),10 - 29 m.,3,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_4,Distance from Open Water to Upland (Vegetated Width),30 - 49 m.,4,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_5,Distance from Open Water to Upland (Vegetated Width),50 - 100 m.,5,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_6,Distance from Open Water to Upland (Vegetated Width),"> 100 m, or open water is absent at that time.",7,SFTS,Vwidth2,Function,NA,"NeverWater, NoDeep, NoPersis",1
F33,F33_1,Distance from Open Water to Upland (Vegetated Width),<1 m.,0,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_2,Distance from Open Water to Upland (Vegetated Width),1 - 9 m.,2,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_3,Distance from Open Water to Upland (Vegetated Width),10 - 29 m.,4,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_4,Distance from Open Water to Upland (Vegetated Width),30 - 49 m.,6,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_5,Distance from Open Water to Upland (Vegetated Width),50 - 100 m.,7,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_6,Distance from Open Water to Upland (Vegetated Width),"> 100 m, or open water is absent at that time.",8,RSB,WidthWet14,Function,NA,"NeverWater, TempWet, NoPersis, NoDeepPonded, NoOw",1
F33,F33_1,Distance from Open Water to Upland (Vegetated Width),<1 m.,0,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F33,F33_2,Distance from Open Water to Upland (Vegetated Width),1 - 9 m.,1,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F33,F33_3,Distance from Open Water to Upland (Vegetated Width),10 - 29 m.,2,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F33,F33_4,Distance from Open Water to Upland (Vegetated Width),30 - 49 m.,3,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F33,F33_5,Distance from Open Water to Upland (Vegetated Width),50 - 100 m.,4,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F33,F33_6,Distance from Open Water to Upland (Vegetated Width),"> 100 m, or open water is absent at that time.",6,PD,WdthWet15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded, NoOW",1
F35,F35_1,Interspersion of Inundated Vegetation & Open Water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",3,FH,Interspers9,Function,NA,"NeverWater, NoPersis, NoPond",1
F35,F35_2,Interspersion of Inundated Vegetation & Open Water,Intermediate.,2,FH,Interspers9,Function,NA,"NeverWater, NoPersis, NoPond",1
F35,F35_3,Interspersion of Inundated Vegetation & Open Water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,0,FH,Interspers9,Function,NA,"NeverWater, NoPersis, NoPond",1
F35,F35_1,Interspersion of Inundated Vegetation & Open Water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",3,RSB,Interspers14,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F35,F35_2,Interspersion of Inundated Vegetation & Open Water,Intermediate.,2,RSB,Interspers14,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F35,F35_3,Interspersion of Inundated Vegetation & Open Water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,0,RSB,Interspers14,Function,NA,"NeverWater, NoPersis, NoDeepPonded",1
F35,F35_4,Interspersion of Inundated Vegetation & Open Water,"Uniform. There is almost no open water, or almost no vegetation.",NA,RSB,Interspers14,Function,NA,"NeverWater, NoPersis, NoDeepPonded",check
F38,F38_1,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",NA,PR,Eutroph4,Function,NA,NA,1
F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",NA,PR,Eutroph4,Function,NA,NA,1
F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,NA,PR,Eutroph4,Function,NA,NA,1
F38,F38_1,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",1,PD,AqVeg15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded",1
F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",3,PD,AqVeg15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded",1
F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,0,PD,AqVeg15,Function,NA,"NeverWater, NoPond, NoPersis, NoDeepPonded",1
F38,F38_1,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",0,CRI,Algae17,Benefit,NA,"NeverWater, NoPersis",1
F38,F38_2,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",1,CRI,Algae17,Benefit,NA,"NeverWater, NoPersis",1
F38,F38_3,Submerged & Floating-leaved Aquatics,Absent or trace,1,CRI,Algae17,Benefit,NA,"NeverWater, NoPersis",1
F4,F4_1,Dominance of Most Abundant Shrub Genera,Those 2 genera together comprise > 80% of all woody cover.  Low woody cover is monotypic or nearly so.,0,RSB,ShrubRich14,Function,NA,NA,1
F4,F4_2,Dominance of Most Abundant Shrub Genera,Those 2 genera together comprise 50 to <80% of all low woody cover.,1,RSB,ShrubRich14,Function,NA,NA,1
F4,F4_3,Dominance of Most Abundant Shrub Genera,No 2 genera together comprise > 50% of such cover.  Several genera of low woody plants are significantly present.,2,RSB,ShrubRich14,Function,NA,NA,1
F4,F4_1,Dominance of Most Abundant Shrub Genera,Those 2 genera together comprise > 80% of all woody cover.  Low woody cover is monotypic or nearly so.,0,PD,ShrubRich15,Function,NA,NA,1
F4,F4_2,Dominance of Most Abundant Shrub Genera,Those 2 genera together comprise 50 to <80% of all low woody cover.,1,PD,ShrubRich15,Function,NA,NA,1
F4,F4_3,Dominance of Most Abundant Shrub Genera,No 2 genera together comprise > 50% of such cover.  Several genera of low woody plants are significantly present.,3,PD,ShrubRich15,Function,NA,NA,1
F40,F40_1,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",0,Sens,OutDura18a,Sensitivity,NA,Outmap18,1
F40,F40_2,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",2,Sens,OutDura18a,Sensitivity,NA,Outmap18,1
F40,F40_3,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",3,Sens,OutDura18a,Sensitivity,NA,Outmap18,1
F40,F40_4,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",5,Sens,OutDura18a,Sensitivity,NA,Outmap18,1
F40,F40_5,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",5,Sens,OutDura18a,Sensitivity,NA,Outmap18,1
F40,F40_1,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",0,POL,Outlet16,Function,NA,Outmap16,1
F40,F40_2,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",2,POL,Outlet16,Function,NA,Outmap16,1
F40,F40_3,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",3,POL,Outlet16,Function,NA,Outmap16,1
F40,F40_4,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",5,POL,Outlet16,Function,NA,Outmap16,1
F40,F40_5,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",5,POL,Outlet16,Function,NA,Outmap16,1
F41,F41_1,Outflow Confinement and Artificial Drainage,"is exported more slowly because a substantial volume must pass through a pipe, culvert, narrowly breached dike, berm, beaver dam, or other partial obstruction (other than natural topography) that does not appear to drain the wetland artificially during most of the growing season.",1,STR,Constric20,Stressor,NA,"NoOutlet, NoOutletX, NeverWater, TempWet",1
F41,F41_2,Outflow Confinement and Artificial Drainage,Leaves through natural exits (channels or diffuse outflow) or is otherwise unaffected by artificial or temporary features.,0,STR,Constric20,Stressor,NA,"NoOutlet, NoOutletX, NeverWater, TempWet",1
F41,F41_3,Outflow Confinement and Artificial Drainage,"Is exported more quickly than usual due to ditches or pipes within the AA or connected to its outlet, or within 30 ft of the AA's edge, which drain the wetland artificially, or water is pumped out of the AA.",3,STR,Constric20,Stressor,NA,"NoOutlet, NoOutletX, NeverWater, TempWet",1
F41,F41_4,Outflow Confinement and Artificial Drainage,Unknown because wetland outlet could not be viewed or its type inferred.,NA,STR,Constric20,Stressor,NA,"NoOutlet, NoOutletX, NeverWater, TempWet",1
F41,F41_1,Outflow Confinement and Artificial Drainage,"is exported more slowly because a substantial volume must pass through a pipe, culvert, narrowly breached dike, berm, beaver dam, or other partial obstruction (other than natural topography) that does not appear to drain the wetland artificially during most of the growing season.",3,Sens,Constric18a,Sensitivity,NA,"NeverWater, TempWet, NoOutlet",1
F41,F41_2,Outflow Confinement and Artificial Drainage,Leaves through natural exits (channels or diffuse outflow) or is otherwise unaffected by artificial or temporary features.,2,Sens,Constric18a,Sensitivity,NA,"NeverWater, TempWet, NoOutlet",1
F41,F41_3,Outflow Confinement and Artificial Drainage,"Is exported more quickly than usual due to ditches or pipes within the AA or connected to its outlet, or within 30 ft of the AA's edge, which drain the wetland artificially, or water is pumped out of the AA.",0,Sens,Constric18a,Sensitivity,NA,"NeverWater, TempWet, NoOutlet",1
F41,F41_4,Outflow Confinement and Artificial Drainage,Unknown because wetland outlet could not be viewed or its type inferred.,NA,Sens,Constric18a,Sensitivity,NA,"NeverWater, TempWet, NoOutlet",1
F42,F42_1,Tributary Channel or Floodplain,numeric,NA,PD,Inflow15,Function,NA,"NoOutlet, NoOutletX, Outmap15",1
F42,??,Tributary Channel or Floodplain,response,NA,WS,Inflow,Calculation,NA,NA,1
F45,F45_1,pH Measurement,numeric / binary (0/1),NA,Sens,Acid18,Sensitivity,NA,NA,1
F45,F45_1,pH Measurement,numeric,NA,APP,Acidic8,Function,NA,NA,1
F45,F45_1,pH Measurement,numeric,NA,AM,Acidic11,Function,NA,NA,1
F46a,F46_1,Conductivity,numeric,NA,Sens,Conductiv18,Sensitivity,NA,NA,1
F46b,F46_2,TDS,numeric,NA,Sens,TDS18a,Sensitivity,NA,NA,1
F47,F47_1,Groundwater Input Probability,"Springs are known to be present within the AA; or most of the AA was excavated below the usual water table level; or iron floc is extensive, or thermal and chemical properties of water strongly suggest substantial groundwater input.",3,PD,Groundw15,Function,NA,NA,1
F47,F47_2,Groundwater Input Probability,"Most of the AA has a slope of >5%, or is very close to the base of a natural slope longer than the maximum dimension of the AA and much steeper than the slope of the AA, OR, if measured, surface water has pH >6.5 and conductivity of >300 µS/cm or TDS of >200 mg/L (ppm). Moss cover, if any, not dominated by Sphagnum. And not a hot spring. Common plants may include ones associated with fen wetlands, e.g., Menyanthes, Potentilla palustris, Equisetum fluviatile.",2,PD,Groundw15,Function,NA,NA,1
F47,F47_3,Groundwater Input Probability,"Neither of above is true, although groundwater may discharge to or flow through the AA. Or groundwater influx is unknown.",0,PD,Groundw15,Function,NA,NA,1
F48,F48_1,Beaver Probability,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",3,Sens,Beaver18a,Sensitivity,NA,NA,1
F48,F48_2,Beaver Probability,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",2,Sens,Beaver18a,Sensitivity,NA,NA,1
F48,F48_3,Beaver Probability,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed.",0,Sens,Beaver18a,Sensitivity,NA,NA,1
F48,F48_1,Beaver Probability,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",3,RSB,Beaver14,Function,NA,NA,1
F48,F48_2,Beaver Probability,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",2,RSB,Beaver14,Function,NA,NA,1
F48,F48_3,Beaver Probability,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed.",0,RSB,Beaver14,Function,NA,NA,1
F48,F48_1,Beaver Probability,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",5,PD,Beaver15,Function,NA,NA,1
F48,F48_2,Beaver Probability,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",3,PD,Beaver15,Function,NA,NA,1
F48,F48_3,Beaver Probability,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed.",1,PD,Beaver15,Function,NA,NA,1
F49,F49_1,Disturbance in Wetland Buffer,Binary (0/1),NA,POL,PerimPctPer16v,Benefit,NA,disturb,check
F5,F5_1,Tall Willow Cover,<1% or none.,0,RSB,Willow14,Function,NA,NA,1
F5,F5_2,Tall Willow Cover,"1-25% of the vegetated cover, in the AA or along its water edge (whichever has more).",2,RSB,Willow14,Function,NA,NA,1
F5,F5_3,Tall Willow Cover,"25-50% of the vegetated cover, in the AA or along its water edge (whichever has more).",3,RSB,Willow14,Function,NA,NA,1
F5,F5_4,Tall Willow Cover,"50-75% of the vegetated cover, in the AA or along its water edge (whichever has more).",4,RSB,Willow14,Function,NA,NA,1
F5,F5_5,Tall Willow Cover,">75% of the vegetated cover, in the AA or along its water edge (whichever has more).",5,RSB,Willow14,Function,NA,NA,1
F5,F5_1,Tall Willow Cover,<1% or none.,0,POL,Willow16,Function,NA,NA,1
F5,F5_2,Tall Willow Cover,"1-25% of the vegetated cover, in the AA or along its water edge (whichever has more).",2,POL,Willow16,Function,NA,NA,1
F5,F5_3,Tall Willow Cover,"25-50% of the vegetated cover, in the AA or along its water edge (whichever has more).",3,POL,Willow16,Function,NA,NA,1
F5,F5_4,Tall Willow Cover,"50-75% of the vegetated cover, in the AA or along its water edge (whichever has more).",5,POL,Willow16,Function,NA,NA,1
F5,F5_5,Tall Willow Cover,">75% of the vegetated cover, in the AA or along its water edge (whichever has more).",6,POL,Willow16,Function,NA,NA,1
F50,F50_1,Vegetation Buffer Along Perimeter,<5%.,5,STR,PerimPctPer20,Stressor,NA,Disturb,1
F50,F50_2,Vegetation Buffer Along Perimeter,5 to <30%.,4,STR,PerimPctPer20,Stressor,NA,Disturb,1
F50,F50_3,Vegetation Buffer Along Perimeter,30 to <60%.,3,STR,PerimPctPer20,Stressor,NA,Disturb,1
F50,F50_4,Vegetation Buffer Along Perimeter,60 to 90%.,2,STR,PerimPctPer20,Stressor,NA,Disturb,1
F50,F50_5,Vegetation Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,STR,PerimPctPer20,Stressor,NA,Disturb,1
F50,F50_1,Vegetation Buffer Along Perimeter,<5%.,0,Sens,PerimPctPer18a,Sensitivity,NA,Disturb,1
F50,F50_2,Vegetation Buffer Along Perimeter,5 to <30%.,2,Sens,PerimPctPer18a,Sensitivity,NA,Disturb,1
F50,F50_3,Vegetation Buffer Along Perimeter,30 to <60%.,3,Sens,PerimPctPer18a,Sensitivity,NA,Disturb,1
F50,F50_4,Vegetation Buffer Along Perimeter,60 to 90%.,4,Sens,PerimPctPer18a,Sensitivity,NA,Disturb,1
F50,F50_5,Vegetation Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,Sens,PerimPctPer18a,Sensitivity,NA,Disturb,1
F50,F50_1,Vegetated Buffer Along Perimeter,<5%.,0,FH,BufferPct10,Function,NA,Disturb,1
F50,F50_2,Vegetated Buffer Along Perimeter,5 to 30%.,2,FH,BufferPct10,Function,NA,Disturb,1
F50,F50_3,Vegetated Buffer Along Perimeter,30 to 60%.,3,FH,BufferPct10,Function,NA,Disturb,1
F50,F50_4,Vegetated Buffer Along Perimeter,60 to 90%.,4,FH,BufferPct10,Function,NA,Disturb,1
F50,F50_5,Vegetated Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,FH,BufferPct10,Function,NA,Disturb,1
F50,F50_1,Vegetation Buffer Along Perimeter,<5%.,0,PD,PerimPctPer15,Function,NA,Disturb,1
F50,F50_2,Vegetation Buffer Along Perimeter,5 to <30%.,1,PD,PerimPctPer15,Function,NA,Disturb,1
F50,F50_3,Vegetation Buffer Along Perimeter,30 to <60%.,2,PD,PerimPctPer15,Function,NA,Disturb,1
F50,F50_4,Vegetation Buffer Along Perimeter,60 to 90%.,3,PD,PerimPctPer15,Function,NA,Disturb,1
F50,F50_5,Vegetation Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,PD,PerimPctPer15,Function,NA,Disturb,1
F50,F50_1,Vegetation Buffer Along Perimeter,<5%.,0,POL,PerimPctPer15,Function,NA,Disturb,1
F50,F50_2,Vegetation Buffer Along Perimeter,5 to <30%.,1,POL,PerimPctPer15,Function,NA,Disturb,1
F50,F50_3,Vegetation Buffer Along Perimeter,30 to <60%.,2,POL,PerimPctPer15,Function,NA,Disturb,1
F50,F50_4,Vegetation Buffer Along Perimeter,60 to 90%.,3,POL,PerimPctPer15,Function,NA,Disturb,1
F50,F50_5,Vegetation Buffer Along Perimeter,">90%, or all the area within 30 m of the AA edge is other wetlands.",5,POL,PerimPctPer15,Function,NA,Disturb,1
F51,F51_1,Type of Cover in Buffer,"Impervious surface, e.g., paved road, parking lot, building, exposed rock.",1,STR,Imperv20,Stressor,NA,Disturb,1
F51,F51_2,Type of Cover in Buffer,"Bare or nearly bare pervious surface (e.g., unpaved road, dike, burned area, landslide), annual vegetation, row crops, or lawn.",2,STR,Imperv20,Stressor,NA,Disturb,1
F51,F51_3,Type of Cover in Buffer,Neither. All areas within 30 m (or 50 m - if AA >5 ha) of the wetland edge lack impervious and bare pervious surfaces. SKIP to F53.,0,STR,Imperv20,Stressor,NA,Disturb,1
F53,F53_1,"Distance to Steep Bank, Bridge, Building",<10 m.,7,RSB,NestDist14,Function,NA,NA,1
F53,F53_2,"Distance to Steep Bank, Bridge, Building",10 - 30 m.,5,RSB,NestDist14,Function,NA,NA,1
F53,F53_3,"Distance to Steep Bank, Bridge, Building",30 - 100 m.,4,RSB,NestDist14,Function,NA,NA,1
F53,F53_4,"Distance to Steep Bank, Bridge, Building",100 - 200 m.,3,RSB,NestDist14,Function,NA,NA,1
F53,F53_5,"Distance to Steep Bank, Bridge, Building",200 - 500 m.,2,RSB,NestDist14,Function,NA,NA,1
F53,F53_6,"Distance to Steep Bank, Bridge, Building",> 500 m.,0,RSB,NestDist14,Function,NA,NA,1
F53,F53_1,"Distance to Steep Bank, Bridge, Building",<10 m.,7,POL,DistNest16,Function,NA,NA,1
F53,F53_2,"Distance to Steep Bank, Bridge, Building",10 - 30 m.,5,POL,DistNest16,Function,NA,NA,1
F53,F53_3,"Distance to Steep Bank, Bridge, Building",30 - 100 m.,4,POL,DistNest16,Function,NA,NA,1
F53,F53_4,"Distance to Steep Bank, Bridge, Building",100 - 200 m.,3,POL,DistNest16,Function,NA,NA,1
F53,F53_5,"Distance to Steep Bank, Bridge, Building",200 - 500 m.,2,POL,DistNest16,Function,NA,NA,1
F53,F53_6,"Distance to Steep Bank, Bridge, Building",> 500 m.,0,POL,DistNest16,Function,NA,NA,1
F54,F54_1,Domestic Well Proximity,Within 0-30 m of the AA.,7,CRI,Wells17v,Benefit,NA,NA,1
F54,F54_2,Domestic Well Proximity,30 - 150 m away and both the wells and the AA are in an alluvial floodplain landscape.,6,CRI,Wells17v,Benefit,NA,NA,1
F54,F54_3,Domestic Well Proximity,30 - 150 m away and not in an alluvial floodplain landscape.,5,CRI,Wells17v,Benefit,NA,NA,1
F54,F54_4,Domestic Well Proximity,150 - 1500 m away and both the wells and the AA are in an alluvial floodplain landscape.,3,CRI,Wells17v,Benefit,NA,NA,1
F54,F54_5,Domestic Well Proximity,150  - 1500 m away and not in an alluvial floodplain landscape.,2,CRI,Wells17v,Benefit,NA,NA,1
F54,F54_6,Domestic Well Proximity,"> 1500 m away, or no information.",0,CRI,Wells17v,Benefit,NA,NA,1
F55,F55_1,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",8,STR,Fire20,Stressor,NA,NA,1
F55,F55_2,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",6,STR,Fire20,Stressor,NA,NA,1
F55,F55_3,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",5,STR,Fire20,Stressor,NA,NA,1
F55,F55_4,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",4,STR,Fire20,Stressor,NA,NA,1
F55,F55_5,Fire History,Burned 6-10 years ago.,3,STR,Fire20,Stressor,NA,NA,1
F55,F55_6,Fire History,Burned 11-30 years ago.,2,STR,Fire20,Stressor,NA,NA,1
F55,F55_7,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,STR,Fire20,Stressor,NA,NA,1
F55,F55_1,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",0,PD,FireHist15,Function,NA,NA,1
F55,F55_2,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",1,PD,FireHist15,Function,NA,NA,1
F55,F55_3,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",2,PD,FireHist15,Function,NA,NA,1
F55,F55_4,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",3,PD,FireHist15,Function,NA,NA,1
F55,F55_5,Fire History,Burned 6-10 years ago.,4,PD,FireHist15,Function,NA,NA,1
F55,F55_6,Fire History,Burned 11-30 years ago.,5,PD,FireHist15,Function,NA,NA,1
F55,F55_7,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",3,PD,FireHist15,Function,NA,NA,1
F56,F56_2,Non-consumptive Uses - Actual or Potential,"Maintained roads, parking areas, or summertime hiking trails are within 10 m of the AA, or the AA can be accessed part of the year by boats arriving via contiguous waters.",NA,WB,Recrea13v,Benefit,NA,NA,1
