q_no,q_text,q_responses,Q_weighting,indicator,output_name ,type (F/B),Rough Percent contribution ,,,,,,,,,
F31,Open Water Extent,1 - 10 hectares,3,FR,OpenW7,Function,10,,,,,,,,,
F31,Open Water Extent,10 - 100 hectares,5,FR,OpenW7,Function,10,,,,,,,,,
F31,Open Water Extent,> 100 hectares,8,FR,OpenW7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,<10 m.,0,FR,Fetch7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,10 - 30 m.,1,FR,Fetch7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,30 - 100 m.,2,FR,Fetch7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,100 - 200 m.,3,FR,Fetch7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,200 - 500 m.,5,FR,Fetch7,Function,10,,,,,,,,,
F32,Distance across longest open water (fetch) ,> 500 m.,8,FR,Fetch7,Function,10,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",8,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",7,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",6,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",5,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,Burned 6-10 years ago.,3,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,Burned 11-30 years ago.,1,FR,Fire7,Function,5,,,,,,,,,
F55,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,FR,Fire7,Function,5,,,,,,,,,
OF23,Ecological Designation ,Binary (0/1),binary,PD,Refuge15,Function,,,,,,,,,,
F22,Fish Occurrence,"Chinook (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,,,,,,,,
F22,Fish Occurrence,"Chum  (wild, not stocked) are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,,,,,,,,
F22,Fish Occurrence,"Coho/Silver (wild, not stocked)  are present in AA (enter ""3""), or in connected parts of same watershed within 5 miles (enter ""2""), or in other connected parts of the same watershed (enter ""1"").",3,APP,AnadF7,Function,3,,,,,,,,,
F22,Fish Occurrence,"None of above, but other fish species are likely present in AA.  Or a stream connects the AA to other waters and is not known to be fishless (enter ""1"").",1,APP,AnadF7,Function,3,,,,,,,,,
F22,Fish Occurrence,"Is known or likely to be fishless (e.g., too small, dry, and/or not accessible even temporarily, and not stocked). ",0,APP,AnadF7,Function,3,,,,,,,,,
OF27,Local Climate Moisture Deficit,numeric,numeric,APP,WetDef8,Function,3,,,,,,,,,
OF28,Degree Days Index,numeric,numeric,APP,DegreeD8,Function,3,,,,,,,,,
OF29,Local Solar Input,numeric,numeric,APP,Solar8,Function,3,,,,,,,,,
OF30,Site Index,<6.3,0,APP,Sindex8,Function,3,,,,,,,,,
OF30,Site Index,6.3 - 9.5,2,APP,Sindex8,Function,3,,,,,,,,,
OF30,Site Index,9.6 - 13.3,3,APP,Sindex8,Function,3,,,,,,,,,
OF30,Site Index,13.4 - 18.5,4,APP,Sindex8,Function,3,,,,,,,,,
OF30,Site Index,>18.5,6,APP,Sindex8,Function,3,,,,,,,,,
OF40,Deciduous within the AA plus 100m buffer,<0.06 (<6%),0,APP,Decid8,Function,3,,,,,,,,,
OF40,Deciduous within the AA plus 100m buffer,0.06 - 0.20,2,APP,Decid8,Function,3,,,,,,,,,
OF40,Deciduous within the AA plus 100m buffer,0.21 - 0.39,3,APP,Decid8,Function,3,,,,,,,,,
OF40,Deciduous within the AA plus 100m buffer,0.40 - 0.66,4,APP,Decid8,Function,3,,,,,,,,,
OF40,Deciduous within the AA plus 100m buffer,>0.66,6,APP,Decid8,Function,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,<10%,6,APP,Disturb8,Function,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,10-20%,4,APP,Disturb8,Function,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,20-30%,3,APP,Disturb8,Function,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,30-40%,2,APP,Disturb8,Function,3,,,,,,,,,
OF43,Disturbed Percentage in the WAU,>40%,0,APP,Disturb8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,coniferous (including tamarack) taller than 3 meters.,0,APP,DecidTree8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,deciduous taller than 3 m,3,APP,DecidTree8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"coniferous or evergreen 1-3 m tall (e.g., stunted black spruce)",1,APP,DecidTree8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,deciduous 1-3 m tall ,4,APP,DecidTree8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"coniferous or evergreen <1 m tall (e.g., many ericaceous shrub species)",2,APP,DecidTree8,Function,3,,,,,,,,,
F1,Vegetation Height and Form Diversity ,"deciduous <1 m tall (e.g., deciduous tree seedlings) ",5,APP,DecidTree8,Function,3,,,,,,,,,
F14,N Fixers,<1% or none.,0,APP,Nfix8,Function,3,,,,,,,,,
F14,N Fixers,"1-25% of the vegetated cover, in the AA or along its water edge (whichever has more).",2,APP,Nfix8,Function,3,,,,,,,,,
F14,N Fixers,"25-50% of the vegetated cover, in the AA or along its water edge (whichever has more).",3,APP,Nfix8,Function,3,,,,,,,,,
F14,N Fixers,"50-75% of the vegetated cover, in the AA or along its water edge (whichever has more).",4,APP,Nfix8,Function,3,,,,,,,,,
F14,N Fixers,">75% of the vegetated cover, in the AA or along its water edge (whichever has more).",5,APP,Nfix8,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,"Loamy: soils that may contain a little fine grit and do not make a ""ribbon"" longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",4,APP,SoilTex8,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,"Fines: includes silt, clay, silt, soils that make a ribbon longer than 2 cm when moistened, rolled, squeezed, and extended between thumb and forefinger.",2,APP,SoilTex8,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,"Peat, to 40 cm depth or greater.",3,APP,SoilTex8,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,Peat or decomposed organic <40 cm deep. ,3,APP,SoilTex8,Function,3,,,,,,,,,
F17,Soil SurfaceTexture,"Coarse: includes sand, loamy sand, gravel, cobble, soils that do not make a ribbon when moistened, rolled, squeezed, and extended between thumb and forefinger.",0,APP,SoilTex8,Function,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",6,APP,DryPct8,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",5,APP,DryPct8,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,4,APP,DryPct8,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,3,APP,DryPct8,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",2,APP,DryPct8,Function,10,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,APP,DryPct8,Function,10,,,,,,,,,
F20,Percent Flood Only seasonal ,"None, or <0.01 hectare and <1% of the AA. ",1,APP,SeasPct8,Function,3,,,,,,,,,
F20,Percent Flood Only seasonal ,"1-20% of the AA, or <1% but >0.01 hectare",3,APP,SeasPct8,Function,3,,,,,,,,,
F20,Percent Flood Only seasonal ,20-50% of the AA.,3,APP,SeasPct8,Function,3,,,,,,,,,
F20,Percent Flood Only seasonal ,50-95% of the AA.,2,APP,SeasPct8,Function,3,,,,,,,,,
F20,Percent Flood Only seasonal ,>95% of the AA. ,0,APP,SeasPct8,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,"<5% of the water is shaded, or no surface water is present then.",5,APP,Shade8,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,5-25% of the water is shaded.,4,APP,Shade8,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,25-50% of the water is shaded.,3,APP,Shade8,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,50-75% of the water is shaded.,1,APP,Shade8,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,>75% of the water is shaded.,0,APP,Shade8,Function,3,,,,,,,,,
F25,Surface Water Fluctuation Range ,<10 cm change (stable or nearly so).,0,APP,Fluctu8,Function,3,,,,,,,,,
F25,Surface Water Fluctuation Range ,10 cm - 50 cm change.,2,APP,Fluctu8,Function,3,,,,,,,,,
F25,Surface Water Fluctuation Range ,0.5 - 1 m change.,3,APP,Fluctu8,Function,3,,,,,,,,,
F25,Surface Water Fluctuation Range ,1-2 m change.,4,APP,Fluctu8,Function,3,,,,,,,,,
F25,Surface Water Fluctuation Range ,>2 m change.,1,APP,Fluctu8,Function,3,,,,,,,,,
F26,Predominant Depth Class,<10 cm deep (but >0).,2,APP,DepthDom8,Function,3,,,,,,,,,
F26,Predominant Depth Class,10 - 50 cm deep.,4,APP,DepthDom8,Function,3,,,,,,,,,
F26,Predominant Depth Class,0.5 - 1 m deep.,3,APP,DepthDom8,Function,3,,,,,,,,,
F26,Predominant Depth Class,1 - 2 m deep.,1,APP,DepthDom8,Function,3,,,,,,,,,
F26,Predominant Depth Class,>2 m deep. True for many fringe wetlands.,0,APP,DepthDom8,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,"Scattered. More than 30% of the inundated vegetation forms small islands or corridors surrounded by water, or more than 30% of the open water is in patches scattered widely amidst the vegetation.",4,APP,Interspers8,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,Intermediate.,3,APP,Interspers8,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,Clumped. More than 70% of the inundated vegetation is in rings surrounding open water or is clumped at one or a few sides of the open water areas.,1,APP,Interspers8,Function,3,,,,,,,,,
F35,Interspersion of inundated Vegetationand Open water,"Uniform. There is almost no open water, or almost no vegetation.",0,APP,Interspers8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,<1% of the AA.,0,APP,EmArea8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,1-20% of the AA,2,APP,EmArea8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,20 - 40% of the AA,3,APP,EmArea8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,40 - 60% of the AA.,4,APP,EmArea8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,60 - 90% of the AA,6,APP,EmArea8,Function,3,,,,,,,,,
F37,Inundated Erect Vegetation,">90%, of the AA.",7,APP,EmArea8,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",3,APP,SAVpct8,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",2,APP,SAVpct8,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,Absent or trace,0,APP,SAVpct8,Function,3,,,,,,,,,
F39,Water Colour,clear or slightly cloudy,3,APP,color8,Function,3,,,,,,,,,
F39,Water Colour,stained reddish-brown,1,APP,color8,Function,3,,,,,,,,,
F39,Water Colour,densely cloudy,0,APP,color8,Function,3,,,,,,,,,
F39,Water Colour,indeterminate (surface water absent at time of visit),?,APP,color8,Function,3,,,,,,,,,
F42,Tributary Channel or Floodplain,numeric,numeric,APP,Inflow8,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",3,APP,OutDur8,Function,5,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",4,APP,OutDur8,Function,5,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",2,APP,OutDur8,Function,5,,,,,,,,,
F40,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",0,APP,OutDur8,Function,5,,,,,,,,,
F40,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",0,APP,OutDur8,Function,5,,,,,,,,,
F47,Groundwater Input Probability,"Springs are known to be present within the AA; or most of the AA was excavated below the usual water table level; or iron floc is extensive, or thermal and chemical properties of water strongly suggest substantial groundwater input.",3,APP,Groundw8,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Most of the AA has a slope of >5%, or is very close to the base of a natural slope longer than the maximum dimension of the AA and much steeper than the slope of the AA, OR, if measured, surface water has pH >6.5 and conductivity of >300 µS/cm or TDS of >200 mg/L (ppm). Moss cover, if any, not dominated by Sphagnum. And not a hot spring. Common plants may include ones associated with fen wetlands, e.g., Menyanthes, Potentilla palustris, Equisetum fluviatile.",2,APP,Groundw8,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Neither of above is true, although groundwater may discharge to or flow through the AA. Or groundwater influx is unknown.",0,APP,Groundw8,Function,3,,,,,,,,,
F46a,Conductivity,numeric,numeric,APP,Conductiv8,Function,5,,,,,,,,,
F46b,TDS,numeric,numeric,APP,TDSapp8,Function,5,,,,,,,,,
F48,Beaver Probability ,"Evident from direct observation or presence of gnawed limbs, dams, tracks, dens, lodges, or extensive stands of water-killed trees (snags).",3,APP,Beaver8,Function,3,,,,,,,,,
F48,Beaver Probability ,"Likely based on proximity to suitable habitat, which may include: (a) a persistent freshwater wetland, pond, or lake, or a perennial low or mid-gradient (<6%) channel, and (b) a corridor or multiple stands of hardwood trees and shrubs (>10 cm diameter) near surface water.",2,APP,Beaver8,Function,3,,,,,,,,,
F48,Beaver Probability ,"Unlikely because site characteristics above are deficient, and/or this is a settled area or other area where beaver are routinely removed. ",0,APP,Beaver8,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned intensely.",8,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and >50% of wetland-upland perimeter or area apparently burned, and burned lightly.",7,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned intensely.",6,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,"Burned within past 5 years, and <50% of wetland-upland perimeter apparently burned, and burned lightly.",5,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,Burned 6-10 years ago.,3,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,Burned 11-30 years ago.,1,APP,Fire8,Function,3,,,,,,,,,
F55,Fire History,"Burned >30 years ago, or no evidence of a burn and no data.",0,APP,Fire8,Function,3,,,,,,,,,
S3,Accelerated inputs of Nutrients,stressor subscore,numeric,APP,Nutrin8,Function,3,,,,,,,,,
S4,Excessive Sediament Loading from Runoff Contributing Area),stressor subscore,numeric,APP,SedRTCA8,Function,3,,,,,,,,,
S5,Soil or Sediment Alteration within the Assessment Area ,stressor subscore,numeric,APP,SoilDisturb8,Function,3,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,numeric ,APP,Elev8v,Benefit,50,,,,,,,,,
z,Fish Habitat Score,calculated numeric,numeric,APP,FscoreFH8v,Benefit,10,,,,,,,,,
z,Amphibian Score,calculated numeric,numeric,APP,FscoreAM8v,Benefit,10,,,,,,,,,
z,Waterbird Score,calculated numeric,numeric ,APP,FscoreWB8v,Benefit,10,,,,,,,,,
z,Raptor and wetland songbird habitat score,calculated numeric,numeric ,APP,FscoreSBM8v,Benefit,10,,,,,,,,,
F56,Non-consumptive Uses - Actual or Potential,"For an average person, walking is physically possible in (not just near) >5% of the AA during most of the growing season, e.g., free of deep water and dense shrub thickets.",0,FH,Boats10v,Benefit,10,,,,,,,,,
F56,Non-consumptive Uses - Actual or Potential,"Maintained roads, parking areas, or summertime hiking trails are within 10 m of the AA, or the AA can be accessed part of the year by boats arriving via contiguous waters.",1,FH,Boats10v,Benefit,10,,,,,,,,,
F56,Non-consumptive Uses - Actual or Potential,"Within the AA or within 100 m of its edge, there is an interpretive center, trails with nature-focused interpretive signs or brochures, and/or regular guided nature tours. ",0,FH,Boats10v,Benefit,10,,,,,,,,,
F57,Consumptive Uses,"Low-impact timber harvest (e.g., minor firewood collecting, selective thinning)",0,FH,Fishing10v,Benefit,30,,,,,,,,,
F57,Consumptive Uses,"Commercial or traditional-use harvesting of living native plants, their fruits, or mushrooms (logging excluded)",0,FH,Fishing10v,Benefit,30,,,,,,,,,
F57,Consumptive Uses,Waterfowl hunting,0,FH,Fishing10v,Benefit,30,,,,,,,,,
F57,Consumptive Uses,Moose hunting,0,FH,Fishing10v,Benefit,30,,,,,,,,,
F57,Consumptive Uses,Fishing,1,FH,Fishing10v,Benefit,30,,,,,,,,,
F57,Consumptive Uses,Trapping of furbearers,0,FH,Fishing10v,Benefit,30,,,,,,,,,
Z,Waterbird Score,calculated score,numeric,FH,FscoreWBF10v,Benefit,30,,,,,,,,,
F22,Fish Occurrence,numeric calculations ,numeric,FH,FishPres10,Function,100,,,,,,,,,
OF32,Road Density Within AA's Buffer,< 0.12 km/km2 ,3,FH,RdDens10,Function,3,,,,,,,,,
OF32,Road Density Within AA's Buffer,0.12 – 0.30 km/km2 ,1,FH,RdDens10,Function,3,,,,,,,,,
OF32,Road Density Within AA's Buffer,> 0.30 km/km2 ,0,FH,RdDens10,Function,3,,,,,,,,,
OF44,Road Density in the WAU,<0.4 km/km2 ,4,FH,RdDensWAU10,Function,3,,,,,,,,,
OF44,Road Density in the WAU,0.4 – 1.2 km/km2 ,1,FH,RdDensWAU10,Function,3,,,,,,,,,
OF44,Road Density in the WAU,> 1.2 km/km2 ,0,FH,RdDensWAU10,Function,3,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"<1%. In other words, all or nearly all of the AA is covered by water permanently or at least seasonally.  ",5,FH,DryPct9,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"1 to <25% of the AA,  or <1% but >0.01 hectare (e.g., 10 m x 10 m) never contains surface water.",4,FH,DryPct9,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,25 to <50% of the AA never contains surface water.,3,FH,DryPct9,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,50 to <75% of the AA never contains surface water.,2,FH,DryPct9,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"75 to <99% of the AA never contains surface water, or >99% AND there is at least one persistent or seasonal water body larger than 0.01 hectare (e.g., 10 m x 10 m) in the AA.",1,FH,DryPct9,Function,100,,,,,,,,,
F19,Percent Always WITHOUT Surface Water,"99-100%. AND there is no persistent or seasonal water body larger than 0.01 hectare (~ 10 x 10 m) in the AA. Enter ""1"" and SKIP to F40 (Channel Network Connection).",0,FH,DryPct9,Function,100,,,,,,,,,
F21,Percent Persistent Surface water,"None, and the entire AA lacks surface water during most years (except for a few hours after storms, brief river flooding, or snowmelt).  ",0,FH,PermWpct10,Function,50,,,,,,,,,
F21,Percent Persistent Surface water,"None, but parts of the AA have surface water for >3 consecutive weeks during most years. ",2,FH,PermWpct10,Function,50,,,,,,,,,
F21,Percent Persistent Surface water,1-20% of the AA still contains surface water during driest times of a normal year.,3,FH,PermWpct10,Function,50,,,,,,,,,
F21,Percent Persistent Surface water,20-50% of the AA still contains surface water during driest times of a normal year.,4,FH,PermWpct10,Function,50,,,,,,,,,
F21,Percent Persistent Surface water,50-95% of the AA still contains surface water during driest times of a normal year.,5,FH,PermWpct10,Function,50,,,,,,,,,
F21,Percent Persistent Surface water,>95% of the AA. True for many fringe wetlands.,4,FH,PermWpct10,Function,50,,,,,,,,,
F23,Lacustrine Wetland,numeric,numeric,FH,Lake9 ,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,"<5% of the water is shaded, or no surface water is present then.",0,FH,Shade9,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,5-25% of the water is shaded.,1,FH,Shade9,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,25-50% of the water is shaded.,3,FH,Shade9,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,50-75% of the water is shaded.,4,FH,Shade9,Function,3,,,,,,,,,
F24,Percent Summertime Water that is shadded,>75% of the water is shaded.,2,FH,Shade9,Function,3,,,,,,,,,
F26,Predominant Depth Class,<10 cm deep (but >0).,0,FH,DepthDom10,Function,100,,,,,,,,,
F26,Predominant Depth Class,10 - 50 cm deep.,1,FH,DepthDom10,Function,100,,,,,,,,,
F26,Predominant Depth Class,0.5 - 1 m deep.,2,FH,DepthDom10,Function,100,,,,,,,,,
F26,Predominant Depth Class,1 - 2 m deep.,3,FH,DepthDom10,Function,100,,,,,,,,,
F26,Predominant Depth Class,>2 m deep. True for many fringe wetlands.,5,FH,DepthDom10,Function,100,,,,,,,,,
F28,Non-vegetated Aquatic ,Little or none.,0,FH,WoodOver10,Function,3,,,,,,,,,
F28,Non-vegetated Aquatic ,Intermediate.,1,FH,WoodOver10,Function,3,,,,,,,,,
F28,Non-vegetated Aquatic ,Extensive.,2,FH,WoodOver10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,"<0.01 hectare (about 10 x 10 m, or 100 m x 1 m), or none ",0,FH,PondSize10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,0.01 - 0.10 ha,1,FH,PondSize10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,0.10 - 1.00 ha,2,FH,PondSize10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,1 - 10 ha,3,FH,PondSize10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,10 - 100 ha,5,FH,PondSize10,Function,3,,,,,,,,,
F29 ,Largest Deep Ponded Water,> 100 ha,5,FH,PondSize10,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,"Are present, and are so extensive they choke most channels or open water areas in late summer",1,FH,_SAV10,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,"Are present, but not choking most channels or open water areas in late summer",3,FH,_SAV10,Function,3,,,,,,,,,
F38,Submerged & Floating-leaved Aquatics,Absent or trace,0,FH,_SAV10,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Perennial (surface water flows out during the entire growing season, most years).",4,FH,OutDur10,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Seasonal (surface water flows out for >3 consecutive weeks but not for the entire growing season, most years).",2,FH,OutDur10,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"Temporary (surface water flows out for <3 consecutive weeks, most years)",1,FH,OutDur10,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"None -- but maps show a stream network downslope from the AA and within a distance that is less than the AA's longest dimension. Enter ""1"" and SKIP to F45 (pH Measure).",0,FH,OutDur10,Function,3,,,,,,,,,
F40,Channel Connection and Outflow Duration,"No surface water flows out of the wetland except possibly during extreme events (<once per 10 years). Or, water flows only into a wetland, ditch, or lake that lacks an outlet. . Enter ""1"" and SKIP to F45 (pH Measure).",0,FH,OutDur10,Function,3,,,,,,,,,
F43,Throughflow Resistance,"Does not bump into many plant stems as it travels through the AA. Nearly all the water continues to travel in unvegetated (often incised) channels that have minimal contact with wetland vegetation, or through a zone of open water such as an instream pond or lake.",0,FH,ThruFlo10,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into herbaceous vegetation but mostly remains in fairly straight channels or flow paths.,1,FH,ThruFlo10,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into herbaceous vegetation and mostly spreads throughout.,3,FH,ThruFlo10,Function,3,,,,,,,,,
F43,Throughflow Resistance,Bumps into tree trunks and/or shrub stems but mostly remains in fairly direct flow paths.,2,FH,ThruFlo10,Function,3,,,,,,,,,
F43,Throughflow Resistance,"Bumps into tree trunks and/or shrub stems and follows a fairly indirect path from entrance to exit, largely spreading into wooded parts of the AA.",3,FH,ThruFlo10,Function,3,,,,,,,,,
F45,pH Measurement,numeric or binary,numeric,FH,Acid10,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Springs are known to be present within the AA; or most of the AA was excavated below the usual water table level; or iron floc is extensive, or thermal and chemical properties of water strongly suggest substantial groundwater input.",3,FH,Groundw10,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Most of the AA has a slope of >5%, or is very close to the base of a natural slope longer than the maximum dimension of the AA and much steeper than the slope of the AA, OR, if measured, surface water has pH >6.5 and conductivity of >300 µS/cm or TDS of >200 mg/L (ppm). Moss cover, if any, not dominated by Sphagnum. And not a hot spring. Common plants may include ones associated with fen wetlands, e.g., Menyanthes, Potentilla palustris, Equisetum fluviatile.",2,FH,Groundw10,Function,3,,,,,,,,,
F47,Groundwater Input Probability,"Neither of above is true, although groundwater may discharge to or flow through the AA. Or groundwater influx is unknown.",0,FH,Groundw10,Function,3,,,,,,,,,
S1,Alteration Timing of Water Inputs ,calculated score,numeric,FH,AltTiming10,Function,3,,,,,,,,,
S3,Accelerated inputs of Nutrients,calculated score,numeric,FH,Contam10,Function,3,,,,,,,,,
S4,Excessive Sediament Loading from Runoff Contributing Area),calculated score,numeric,FH,SedRCA10,Function,3,,,,,,,,,
z,Aquatic Productivity Score,calculated score,numeric,FH,APPscore9,Function,3,,,,,,,,,
F17,Percent Flood Only seasonal ,response,binary,FH,NoSeasonal,Function,50,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,"<0.01, or contributing area is unknown due to stormwater pipes that collect water from an indeterminate area.",4,PR,WetPctRCA4v,Benefit,,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.01 to 0.1.,3,PR,WetPctRCA4v,Benefit,,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,0.1 to 1.,2,PR,WetPctRCA4v,Benefit,,,,,,,,,,
OF13,Wetland as a % of contributing catchment Area,">1 (wetland is larger than its contributing area (e.g., headwater wetland with flat surrounding terrain and no inlet, or entirely isolated by dikes, or a raised bog). SKIP TO OF13.",1,PR,WetPctRCA4v,Benefit,,,,,,,,,,
OF6,Relative Elevation in Watershed,numeric ,1 - numeric,PR,Elev4v,Benefit,,,,,,,,,,
F15,Percent Bare Ground,"Little or no (<5%) bare ground is visible between erect stems or under canopy anywhere in the vegetated AA. Ground is extensively blanketed by dense thatch, moss, lichens, graminoids with great stem densities, or plants with ground-hugging foliage. ",3,PR,Gcover4,Function,5,,,,,,,,,
F15,Percent Bare Ground,"Ground that is more than 5% bare between erect stems or under canopy is visible in places, but those areas comprise < 5% of the unflooded parts of the AA.",2,PR,Gcover4,Function,5,,,,,,,,,
F15,Percent Bare Ground,Ground that is more than 5% bare between erect stems or under canopy comprises > 5% of the unflooded parts of the AA.,0,PR,Gcover4,Function,5,,,,,,,,,
